confirmedCount,curedCount,deadCount,emergency,name,notes,provinceName,provinceShortName,restriction_order,sos,state_official_link
123160,12978,4159,2020-03-07,纽约,"Compare with New York State Department of health. NYC official website said due to delays in reporting, recent data are incomplete.The death number we are consistent with NY.gov = 3048, where Queens = 813, Manhattan = 556, Kings(Brooklyn) = 896, Bronx = 623 and Richmond = 150. ",New York,NY,"Stay-at-home order, effective 8pm, March 22nd",NY State:\nhttps://www.health.ny.gov/coronavirus/\n1-888-364-3065\n\nNYC:\nhttps://nyc.gov/health/coronavirus\n347-396-7990,https://www.health.ny.gov/diseases/communicable/coronavirus/
37505,0,917,2020-03-09,新泽西,Consistent( 4/5 11:15PM PST),New Jersey,NJ,"Stay-at-home order, effective 9pm, March 21st",https://www.nj.gov/health/\n800-222-1222,https://www.nj.gov/health/
15718,69,617,2020-03-10,密西根,Consistent (4/4 3pm EST) ,Michigan,MI,"Stay-at-home order, Mar 23.",8885356136,https://www.michigan.gov/coronavirus/
15158,278,350,2020-03-06,加利福尼亚,"4/5 3pm PDT, Consistent with almost all Counties. Death cases Sonoma County official shows 1 as of 4/1, we have 2. ",California,CA,"Stay at Home Order, effective on March 19th",Orange County:\nhttps://www.ochealthinfo.com/novelcoronavirus\n800-564-8448\n\nSanta Clara County:\nhttps://www.sccgov.org/\n408-885-3980,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/nCOV2019.aspx
13010,0,477,2020-03-11,路易斯安那,Consistent (3/28 1:30pm PT),Louisiana,LA,"Stay-at-home order, effective 5p.m. March 23rd",http://ldh.la.gov/coronavirus/ (311) 898-211,http://ldh.la.gov/Coronavirus/
12500,10,231,2020-03-10,马萨诸塞,Consistent (4/4 12:30pm EST),Massachusetts,MA,Stay-at-home advisory (NOT ORDER) effective March 24 at noon.,https://www.mass.gov/\n617-983-6800,https://www.mass.gov/info-details/covid-19-cases-quarantine-and-monitoring
12350,0,236,2020-03-05,佛罗里达,Consistent (4/5 3:30 p.m. PT) ,Florida,FL,"stay-at-home order for FL effective 12am Thursday, April 2nd",www.floridahealth.gov/diseases-and-conditions/COVID-19/\n866-779-6121 \nCOVID-19@flhealth.gov,http://www.floridahealth.gov/diseases-and-conditions/COVID-19/
11643,76,151,2020-03-06,宾夕法尼亚,"By 4/2 9:00 AM EST, more cases were from Bucks County and Philadelphia county than the PA Official Site. ",Pennsylvania,PA,Stay-at-home order on March 23,https://www.health.pa.gov/topics/disease/Pages/Coronavirus.aspx\n\n877-724-3258,https://www.health.pa.gov/topics/disease/Pages/Coronavirus%20Archive.aspx
11260,19,276,2020-03-09,伊利诺伊,Consistent (4/5 4pm PT) 5 more cases,Illinois,IL,"Stay-at-home order, effective at 5pm CST, March 21st",www.dph.illinois.gov\n800-889-3931\nDPH.SICK@ILLINOIS.GOV,http://www.dph.illinois.gov/topics-services/diseases-and-conditions/diseases-a-z-list/coronavirus
7984,667,343,2020-02-29,华盛顿州,"By 4/5 4:35 PM, consistent with total confirmed cases number, more death cases as we followed the county levels. ",Washington,WA,Stay at home,WA State:\nhttps://www.doh.wa.gov/emergencies/coronavirus\n800-525-0127 then #\n\nKing County:\nwww.kingcounty.gov/covid\n800-525-0127\n\nSnohomish County\nwww.snohd.org/ncov2019\n800-525-0127,https://www.doh.wa.gov/emergencies/coronavirus
7295,684,141,2020-03-13,德克萨斯,TX number based on local counties total instead of TX website.,Texas,TX,"Stay-at-home order,  effect at 12:01 a.m. Thursday and lasts until April 30",TX: https://www.dshs.state.tx.us/coronavirus/\n877-570-9779\n\nHouston: https://houstonemergency.org/covid19/\n832-393-4220,https://www.dshs.state.tx.us/news/updates.shtm#coronavirus 
6742,0,219,2020-03-13,乔治亚,Consistent (04/01/2020 18:28:28 CST) ,Georgia,GA,Stay-Home Ordereffect at April 3rd 12:01 a.m. Friday ,https://dph.georgia.gov/novelcoronavirus\n866-782-4584,https://dph.georgia.gov/georgia-department-public-health-covid-19-daily-status-report
5675,0,189,2020-03-10,康涅狄格,Consistent (4/1 2:00pm EST),Connecticut,CT,"Stay Safe, Stay Home Order, effective 8 p.m., March 23rd",https://portal.ct.gov/Coronavirus\nCall your healthcare provider for medical advice.,https://portal.ct.gov/Coronavirus
4950,0,140,2020-03-10,科罗拉多,Consistent (4/5 4pm PST) ,Colorado ,CO,"Stay at Home Order, effective on March 26 6 a.m.",https://www.colorado.gov/pacific/cdphe/2019-novel-coronavirus\n\n call CO HELP at 303-389-1687 or 1-877-462-2911,https://covid19.colorado.gov/data
4946,0,139,2020-03-06,印第安纳, (3/28 11am EST) We have two more case than IN website.,Indiana,IN,"Stay-at-home order, effective Tuesday, March 24 at 11:59 p.m. ET.",https://www.in.gov/isdh/28470.ht\n317-233-7125\nepiresource@isdh.in.gov,https://www.in.gov/isdh/28470.htm
4045,184,91,2020-03-05,马里兰,We have 3 more cases from Queen Anne's County.  Total leads by 3. (3/28 11:00am EST).,Maryland,MD, Stay-home effective Monday 8:00 pm,https://phpa.health.maryland.gov/,https://coronavirus.maryland.gov/
