confirmedCount,curedCount,deadCount,emergency,name,notes,provinceName,provinceShortName,state_official_link
1445,905,58,2020-03-17,不列颠哥伦比亚,,British Columbia,BC,http://www.bccdc.ca/about/news-stories/stories/2020/information-on-novel-coronavirus
6648,2858,253,2020-03-17,安大略,"We are consistent with Ontario.ca website, which reported daily's summary for the previous day at 4:00pm.",Ontario,ON,https://www.ontario.ca/page/2019-novel-coronavirus
12292,1563,289,2020-03-17,魁北克,consistent with official website,Quebec,QC,https://www.inspq.qc.ca/covid-19/donnees
1567,774,40,2020-03-17,阿尔伯塔,,Alberta,AB,https://www.alberta.ca/covid-19-alberta-data.aspx
13,0,0,,至尊公主号,,Grand Princess,Grand Princess,
112,70,0,2020-03-19,新不伦瑞克省,,New Brunswick,NB,
243,96,4,2020-03-20,曼尼托巴省,,Manitoba,MB,
289,147,4,2020-03-18,萨斯喀彻温省,,Saskatchewan,SK,
25,17,0,2020-03-16,爱德华王子岛,,Prince Edward Island,PE,
241,120,3,2020-03-19,纽芬兰省,,Newfoundland and Labrador,NL,
428,95,2,2020-03-22,新斯科舍省,, Nova Scotia,NS,
0,0,0,2020-03-19,努纳维特,,Nunavut,NU,
5,1,0,2020-03-19,西北领地,,Northwest Territories,NT,
8,4,0,2020-03-19,育空领地,,Yukon,YT,
0,0,1,,钻石公主号,,Diamond Princess,Diamond Princess,
